ticker,field,key,predicted,truth,category
AAPL,geographic_revenue,other countries,199994.0,199994000000.0,scale_x1e6
AAPL,geographic_revenue,united states,151790.0,151790000000.0,scale_x1e6
AAPL,geographic_revenue,china,64377.0,64377000000.0,scale_x1e6
AAPL,geographic_revenue,other countries,199994.0,199994000000.0,scale_x1e6
AAPL,geographic_revenue,united states,151790.0,151790000000.0,scale_x1e6
AMZN,geographic_revenue,aws,107556.0,128725000000.0,wrong_value
AMZN,geographic_revenue,consolidated,637959.0,,spurious_key
AMZN,geographic_revenue,international,142906.0,161894000000.0,wrong_value
AMZN,geographic_revenue,north america,387497.0,426305000000.0,wrong_value
AMZN,geographic_revenue,aws,107556.0,128725000000.0,wrong_value
AMZN,geographic_revenue,international,142906.0,161894000000.0,wrong_value
AMZN,geographic_revenue,north america,387497.0,426305000000.0,wrong_value
CAT,geographic_revenue,america,2358.0,,spurious_key
CAT,geographic_revenue,asia/pacific,3783.0,11199000000.0,wrong_value
CAT,geographic_revenue,eame,4595.0,12793000000.0,wrong_value
CAT,geographic_revenue,external,67348.0,,spurious_key
CAT,geographic_revenue,intersegment,5607.0,,spurious_key
CAT,geographic_revenue,latin,2358.0,,spurious_key
CAT,geographic_revenue,latin america,2358.0,6988000000.0,wrong_value
CAT,geographic_revenue,north,24180.0,,spurious_key
CAT,geographic_revenue,north america,24180.0,36609000000.0,wrong_value
CAT,geographic_revenue,total sales and revenues,73755.0,,spurious_key
CAT,geographic_revenue,asia/pacific,3783.0,11199000000.0,wrong_value
CAT,geographic_revenue,eame,4595.0,12793000000.0,wrong_value
CAT,geographic_revenue,latin america,2358.0,6988000000.0,wrong_value
CAT,geographic_revenue,north america,24180.0,36609000000.0,wrong_value
GOOGL,geographic_revenue,asia pacific,16.0,,spurious_key
GOOGL,geographic_revenue,emea,29.0,,spurious_key
GOOGL,geographic_revenue,hedging gains (losses,0.0,,spurious_key
GOOGL,geographic_revenue,other americas,6.0,,spurious_key
GOOGL,geographic_revenue,united states,49.0,,spurious_key
JNJ,geographic_revenue,"africa, asia and pacific",1237.0,,spurious_key
JNJ,geographic_revenue,europe,5035.0,,spurious_key
JNJ,geographic_revenue,united states,3037.0,,spurious_key
JNJ,geographic_revenue,"western hemisphere, excluding u.s",1054.0,,spurious_key
KO,geographic_revenue,buildings and improvements,4967.0,,spurious_key
KO,geographic_revenue,finished goods,1375.0,,spurious_key
KO,geographic_revenue,land,265.0,,spurious_key
KO,geographic_revenue,machinery and equipment,13500.0,,spurious_key
KO,geographic_revenue,other,342.0,,spurious_key
KO,geographic_revenue,"property, plant and equipment — cost",18732.0,,spurious_key
KO,geographic_revenue,"property, plant and equipment — net",9613.0,,spurious_key
KO,geographic_revenue,raw materials and packaging,2708.0,,spurious_key
KO,geographic_revenue,total inventories,4425.0,,spurious_key
MSFT,geographic_revenue,other countries,137178.0,137178000000.0,scale_x1e6
MSFT,geographic_revenue,total,281724.0,,spurious_key
MSFT,geographic_revenue,united states,144546.0,144546000000.0,scale_x1e6
MSFT,geographic_revenue,other countries,137178.0,137178000000.0,scale_x1e6
MSFT,geographic_revenue,united states,144546.0,144546000000.0,scale_x1e6
NVDA,geographic_revenue,china (including hong kong,19677.0,19677000000.0,scale_x1e6
NVDA,geographic_revenue,other,4299.0,4299000000.0,scale_x1e6
NVDA,geographic_revenue,taiwan,42345.0,,spurious_key
NVDA,geographic_revenue,united states,149617.0,149617000000.0,scale_x1e6
NVDA,geographic_revenue,china (including hong kong,19677.0,19677000000.0,scale_x1e6
NVDA,geographic_revenue,other,4299.0,4299000000.0,scale_x1e6
NVDA,geographic_revenue,taiwan (2,,42345000000.0,missing_key
NVDA,geographic_revenue,united states,149617.0,149617000000.0,scale_x1e6
WMT,geographic_revenue,international distribution facilities,179.0,,spurious_key
WMT,geographic_revenue,sam's club u.s. retail units,464.0,,spurious_key
WMT,geographic_revenue,sam's club u.s. total,601.0,,spurious_key
WMT,geographic_revenue,total company,10955.0,,spurious_key
WMT,geographic_revenue,total distribution facilities,371.0,,spurious_key
WMT,geographic_revenue,total retail units,5678.0,,spurious_key
WMT,geographic_revenue,u.s. distribution facilities,192.0,,spurious_key
WMT,geographic_revenue,walmart international retail units,1486.0,,spurious_key
WMT,geographic_revenue,walmart international total,5743.0,,spurious_key
WMT,geographic_revenue,walmart u.s. retail units,3728.0,,spurious_key
WMT,geographic_revenue,walmart u.s. total,4611.0,,spurious_key
XOM,geographic_revenue,africa,0.0,,spurious_key
XOM,geographic_revenue,asia,163.0,,spurious_key
XOM,geographic_revenue,australia/oceania,28.0,,spurious_key
XOM,geographic_revenue,canada/other americas,609.0,,spurious_key
XOM,geographic_revenue,europe,3.0,,spurious_key
XOM,geographic_revenue,total consolidated,3316.0,,spurious_key
XOM,geographic_revenue,total developed,4705.0,,spurious_key
XOM,geographic_revenue,total equity company,166.0,,spurious_key
XOM,geographic_revenue,total proved reserves,8187.0,,spurious_key
XOM,geographic_revenue,total undeveloped,3482.0,,spurious_key
XOM,geographic_revenue,united states,0.0,,spurious_key
AAPL,rd_expense,value,34550.0,34550000000.0,scale_x1e6
AAPL,rd_expense,value,34550.0,34550000000.0,scale_x1e6
AMZN,rd_expense,value,0.0,,spurious_key
CAT,rd_expense,value,,2148000000.0,missing_key
GOOGL,rd_expense,value,61087.0,61087000000.0,scale_x1e6
GOOGL,rd_expense,value,61087.0,61087000000.0,scale_x1e6
JNJ,rd_expense,value,13400.0,14665000000.0,wrong_value
JNJ,rd_expense,value,13400.0,14665000000.0,wrong_value
MSFT,rd_expense,value,32488.0,32488000000.0,scale_x1e6
MSFT,rd_expense,value,32488.0,32488000000.0,scale_x1e6
NVDA,rd_expense,value,18497.0,18497000000.0,scale_x1e6
NVDA,rd_expense,value,18497.0,18497000000.0,scale_x1e6
WMT,rd_expense,value,0.0,,spurious_key
XOM,rd_expense,value,1200.0,1200000000.0,scale_x1e6
XOM,rd_expense,value,1200.0,1200000000.0,scale_x1e6
